År;Fertilitet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1945;2977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1946;3016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1948;2898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1949;2709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1950;2572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1951;2576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1952;2502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1953;2535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1954;2595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1955;2542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1956;2576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1957;2590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1958;2556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;2535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960;2494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;2543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1962;2547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1963;2544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;2642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;2602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;2610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;2615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;2350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;2117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;2043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;1905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;1919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;1747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;1660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978;1668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;1602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;1546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;1437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;1427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1983;1377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;1447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986;1480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;1559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989;1620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990;1668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;1683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;1749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;1806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;1807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;1747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;1752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;1724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;1735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;1772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;1747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;1724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;1758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;1778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;1802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;1888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;1839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;1752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;1729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;1668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;1691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;1713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;1785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;1751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;1729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;1674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;1552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;1495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;1465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
